"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2020","9,191.0","9,248.9","9,248.9","9,191.0","0.08K","-0.63%"
"07/14/2020","9,248.9","9,238.6","9,265.9","9,181.0","0.07K","0.11%"
"07/13/2020","9,238.6","9,296.7","9,318.1","9,238.6","0.07K","-0.63%"
"07/12/2020","9,296.7","9,230.3","9,296.7","9,180.3","0.06K","0.72%"
"07/11/2020","9,230.3","9,293.6","9,293.6","9,183.2","0.06K","-0.68%"
"07/10/2020","9,293.6","9,236.6","9,293.6","9,160.6","0.07K","0.62%"
"07/09/2020","9,236.6","9,437.9","9,437.9","9,222.8","0.09K","-2.13%"
"07/08/2020","9,437.9","9,247.4","9,439.4","9,247.4","0.11K","2.06%"
"07/07/2020","9,247.4","9,339.9","9,339.9","9,238.7","0.08K","-0.99%"
"07/06/2020","9,339.9","9,084.4","9,339.9","9,070.0","0.09K","2.81%"
"07/05/2020","9,084.4","9,127.2","9,143.1","9,003.0","0.05K","-0.47%"
"07/04/2020","9,127.2","9,061.2","9,179.0","9,048.9","0.05K","0.73%"
"07/03/2020","9,061.2","9,089.5","9,123.6","9,043.3","0.03K","-0.31%"
"07/02/2020","9,089.5","9,221.8","9,257.5","8,960.0","0.04K","-1.43%"
"07/01/2020","9,221.8","9,136.8","9,285.0","9,092.9","0.04K","0.93%"
"06/30/2020","9,136.8","9,183.2","9,196.4","9,090.0","0.03K","-0.50%"
"06/29/2020","9,183.2","9,126.7","9,235.3","9,017.9","0.04K","0.62%"
"06/28/2020","9,126.7","9,011.3","9,184.0","8,950.0","0.04K","1.28%"
"06/27/2020","9,011.3","9,156.3","9,195.0","8,900.0","0.03K","-1.58%"
"06/26/2020","9,156.3","9,252.5","9,295.6","9,057.2","0.04K","-1.04%"
"06/25/2020","9,252.5","9,299.0","9,330.0","9,050.0","0.06K","-0.50%"
"06/24/2020","9,299.0","9,616.9","9,675.1","9,233.1","0.07K","-3.31%"
"06/23/2020","9,616.9","9,687.4","9,718.7","9,566.0","0.04K","-0.73%"
"06/22/2020","9,687.4","9,296.0","9,732.0","9,287.8","0.08K","4.21%"
"06/21/2020","9,296.0","9,358.0","9,400.5","9,288.0","0.03K","-0.66%"
"06/20/2020","9,358.0","9,310.0","9,381.4","9,220.0","0.03K","0.52%"
"06/19/2020","9,310.0","9,397.8","9,453.2","9,260.0","0.05K","-0.93%"
"06/18/2020","9,397.8","9,452.3","9,505.2","9,300.0","0.05K","-0.58%"
"06/17/2020","9,452.3","9,513.7","9,547.4","9,230.0","0.05K","-0.64%"
"06/16/2020","9,513.7","9,422.0","9,570.0","9,379.2","0.06K","0.97%"
"06/15/2020","9,422.0","9,344.6","9,486.1","8,933.5","0.09K","0.83%"
"06/14/2020","9,344.6","9,466.2","9,466.2","9,275.9","0.03K","-1.28%"
"06/13/2020","9,466.2","9,460.6","9,490.0","9,373.4","0.02K","0.06%"
"06/12/2020","9,460.6","9,277.3","9,541.0","9,251.8","0.05K","1.98%"
"06/11/2020","9,277.3","9,882.3","9,950.0","9,150.0","0.11K","-6.12%"
"06/10/2020","9,882.3","9,763.9","9,964.8","9,696.1","0.07K","1.21%"
"06/09/2020","9,763.9","9,787.3","9,858.9","9,600.4","0.08K","-0.24%"
"06/08/2020","9,787.3","9,734.9","9,797.0","9,642.6","0.06K","0.54%"
"06/07/2020","9,734.9","9,669.7","9,786.0","9,404.0","0.10K","0.67%"
"06/06/2020","9,669.7","9,638.9","9,728.0","9,552.5","0.08K","0.32%"
"06/05/2020","9,638.9","9,794.2","9,840.4","9,621.3","0.09K","-1.59%"
"06/04/2020","9,794.2","9,654.1","9,862.7","9,469.3","0.11K","1.45%"
"06/03/2020","9,654.1","9,521.3","9,664.3","9,401.1","0.08K","1.41%"
"06/02/2020","9,520.3","10,138.7","10,191.3","9,300.0","0.18K","-6.10%"
"06/01/2020","10,138.7","9,457.4","10,155.4","9,435.2","0.14K","7.20%"
"05/31/2020","9,457.4","9,691.9","9,692.0","9,405.0","0.12K","-2.42%"
"05/30/2020","9,691.9","9,424.9","9,722.2","9,348.0","0.15K","2.83%"
"05/29/2020","9,424.9","9,566.0","9,594.0","9,300.7","0.12K","-1.47%"
"05/28/2020","9,566.0","9,193.6","9,611.0","9,122.2","0.17K","4.05%"
"05/27/2020","9,193.6","8,843.6","9,214.9","8,822.0","0.15K","3.96%"
"05/26/2020","8,843.6","8,906.1","8,999.0","8,716.3","0.12K","-0.70%"
